        Pcore(1)        Pcore(2)        Pcore(3)        Pcore(4)        Pcore(5)        Pcore(6)        Pcore(7)        Pcore(8)
     1.4942529     2.9885057     4.4827586     5.9770115     5.9770115     4.4827586     2.9885057     1.4942529
        Vcore(1)        Vcore(2)        Vcore(3)        Vcore(4)        Vcore(5)        Vcore(6)        Vcore(7)        Vcore(8)
             0             0             0             0             0             0             0             0
     6.1515183     6.2262309     6.3009436     6.3756562     6.3756562     6.3009436     6.2262309     6.1515183
     6.2293645     6.3040771     6.3787897     6.4535024     6.4535024     6.3787897     6.3040771     6.2293645
     6.3066795     6.3813921     6.4561047     6.5308174     6.5308174     6.4561047     6.3813921     6.3066795
     6.3834669     6.4581796     6.5328922     6.6076049     6.6076049     6.5328922     6.4581796     6.3834669
     6.4597304     6.5344431     6.6091557     6.6838684     6.6838684     6.6091557     6.5344431     6.4597304
     6.5354736     6.6101862     6.6848989     6.7596115     6.7596115     6.6848989     6.6101862     6.5354736
     6.6106999     6.6854126     6.7601252     6.8348379     6.8348379     6.7601252     6.6854126     6.6106999
      6.685413     6.7601256     6.8348383     6.9095509     6.9095509     6.8348383     6.7601256      6.685413
     6.7596163     6.8343289     6.9090415     6.9837542     6.9837542     6.9090415     6.8343289     6.7596163
     6.8333132     6.9080259     6.9827385     7.0574511     7.0574511     6.9827385     6.9080259     6.8333132
     6.9065073       6.98122     7.0559326     7.1306452     7.1306452     7.0559326       6.98122     6.9065073
      6.979202     7.0539146     7.1286273     7.2033399     7.2033399     7.1286273     7.0539146      6.979202
     7.0514007     7.1261133      7.200826     7.2755386     7.2755386      7.200826     7.1261133     7.0514007
     7.1231067     7.1978193      7.272532     7.3472446     7.3472446      7.272532     7.1978193     7.1231067
     7.1943235     7.2690361     7.3437488     7.4184614     7.4184614     7.3437488     7.2690361     7.1943235
     7.2650543     7.3397669     7.4144796     7.4891922     7.4891922     7.4144796     7.3397669     7.2650543
     7.3353025     7.4100152     7.4847278     7.5594405     7.5594405     7.4847278     7.4100152     7.3353025
     7.4050714     7.4797841     7.5544967     7.6292094     7.6292094     7.5544967     7.4797841     7.4050714
     7.4743643     7.5490769     7.6237896     7.6985022     7.6985022     7.6237896     7.5490769     7.4743643
     7.5431843      7.617897     7.6926096     7.7673223     7.7673223     7.6926096      7.617897     7.5431843
     7.6115348     7.6862474     7.7609601     7.8356727     7.8356727     7.7609601     7.6862474     7.6115348
     7.6794189     7.7541315     7.8288442     7.9035568     7.9035568     7.8288442     7.7541315     7.6794189
     7.7468398     7.8215524     7.8962651     7.9709777     7.9709777     7.8962651     7.8215524     7.7468398
     7.8138007     7.8885133      7.963226     8.0379386     8.0379386      7.963226     7.8885133     7.8138007
     7.8803046     7.9550173     8.0297299     8.1044426     8.1044426     8.0297299     7.9550173     7.8803046
     7.9463549     8.0210675     8.0957801     8.1704928     8.1704928     8.0957801     8.0210675     7.9463549
     8.0119544      8.086667     8.1613797     8.2360923     8.2360923     8.1613797      8.086667     8.0119544
     8.0771063      8.151819     8.2265316     8.3012442     8.3012442     8.2265316      8.151819     8.0771063
     8.1418137     8.2165263      8.291239     8.3659516     8.3659516      8.291239     8.2165263     8.1418137
     8.2060796     8.2807922     8.3555049     8.4302175     8.4302175     8.3555049     8.2807922     8.2060796
     8.2699069     8.3446196     8.4193322     8.4940449     8.4940449     8.4193322     8.3446196     8.2699069
     8.3332988     8.4080114     8.4827241     8.5574367     8.5574367     8.4827241     8.4080114     8.3332988
     8.3962581     8.4709707     8.5456834      8.620396      8.620396     8.5456834     8.4709707     8.3962581
     8.4587878     8.5335005     8.6082131     8.6829257     8.6829257     8.6082131     8.5335005     8.4587878
     8.5208909     8.5956035     8.6703162     8.7450288     8.7450288     8.6703162     8.5956035     8.5208909
     8.5825702     8.6572829     8.7319955     8.8067081     8.8067081     8.7319955     8.6572829     8.5825702
     8.6438287     8.7185413      8.793254     8.8679666     8.8679666      8.793254     8.7185413     8.6438287
     8.7046692     8.7793818     8.8540945     8.9288071     8.9288071     8.8540945     8.7793818     8.7046692
     8.7650945     8.8398072     8.9145198     8.9892325     8.9892325     8.9145198     8.8398072     8.7650945
     8.8251076     8.8998202     8.9745329     9.0492455     9.0492455     8.9745329     8.8998202     8.8251076
     8.8847112     8.9594238     9.0341364     9.1088491     9.1088491     9.0341364     8.9594238     8.8847112
      8.943908     9.0186207     9.0933333      9.168046      9.168046     9.0933333     9.0186207      8.943908
      9.002701     9.0774136     9.1521263     9.2268389     9.2268389     9.1521263     9.0774136      9.002701
     9.0610928     9.1358055     9.2105181     9.2852307     9.2852307     9.2105181     9.1358055     9.0610928
     9.1190862     9.1937988     9.2685115     9.3432241     9.3432241     9.2685115     9.1937988     9.1190862
     9.1766839     9.2513965     9.3261092     9.4008218     9.4008218     9.3261092     9.2513965     9.1766839
     9.2338886     9.3086012     9.3833138     9.4580265     9.4580265     9.3833138     9.3086012     9.2338886
     9.2907029     9.3654156     9.4401282     9.5148408     9.5148408     9.4401282     9.3654156     9.2907029
     9.3471296     9.4218422     9.4965549     9.5712675     9.5712675     9.4965549     9.4218422     9.3471296
     9.4031713     9.4778839     9.5525966     9.6273092     9.6273092     9.5525966     9.4778839     9.4031713
     9.4588306     9.5335432     9.6082559     9.6829685     9.6829685     9.6082559     9.5335432     9.4588306
     9.5141101     9.5888227     9.6635354      9.738248      9.738248     9.6635354     9.5888227     9.5141101
     9.5690124     9.6437251     9.7184377     9.7931504     9.7931504     9.7184377     9.6437251     9.5690124
     9.6235401     9.6982528     9.7729654     9.8476781     9.8476781     9.7729654     9.6982528     9.6235401
     9.6776958     9.7524085     9.8271211     9.9018337     9.9018337     9.8271211     9.7524085     9.6776958
      9.731482     9.8061946     9.8809072     9.9556199     9.9556199     9.8809072     9.8061946      9.731482
     9.7849011     9.8596137     9.9343264     10.009039     10.009039     9.9343264     9.8596137     9.7849011
     9.8379558     9.9126684      9.987381     10.062094     10.062094      9.987381     9.9126684     9.8379558
     9.8906484      9.965361     10.040074     10.114786     10.114786     10.040074      9.965361     9.8906484
     9.9429815     10.017694     10.092407     10.167119     10.167119     10.092407     10.017694     9.9429815
     9.9949575      10.06967     10.144383     10.219095     10.219095     10.144383      10.06967     9.9949575
     10.046579     10.121292     10.196004     10.270717     10.270717     10.196004     10.121292     10.046579
