         VBase        Charge
             0             0
   0.052725974    0.12479102
    0.17006641    0.24869143
    0.28945147     0.3717076
    0.40583763    0.49384584
    0.52310654    0.61511242
    0.63828795    0.73551354
    0.75367175     0.8550554
    0.86750953    0.97374412
    0.98115304     1.0915858
      1.093574     1.2085864
     1.2055711     1.3247521
     1.3165405     1.4400887
     1.4269551     1.5546022
     1.5364609     1.6682985
     1.6453388     1.7811833
     1.7533823     1.8932625
     1.8607588     2.0045418
     1.9673487      2.115027
     2.0732528     2.2247236
     2.1784024     2.3336374
      2.282859     2.4417738
     2.3865841     2.5491386
     2.4896159     2.6557371
     2.5919336     2.7615748
     2.6935616     2.8666572
     2.7944897     2.9709897
     2.8947341     3.0745776
     2.9942907     3.1774262
      3.093171     3.2795408
     3.1913743     3.3809266
     3.2889092     3.4815889
     3.3857774     3.5815327
     3.4819855     3.6807633
     3.5775365     3.7792857
     3.6724361      3.877105
     3.7666877     3.9742262
     3.8602966     4.0706542
     3.9532664     4.1663941
     4.0456021     4.2614507
     4.1373077     4.3558289
     4.2283876     4.4495335
     4.3188459     4.5425694
     4.4086872     4.6349414
     4.4979153     4.7266541
     4.5865347     4.8177123
     4.6745493     4.9081206
     4.7619635     4.9978837
     4.8487811     5.0870061
     4.9350064     5.1754926
     5.0206434     5.2633475
      5.105696     5.3505755
     5.1901683     5.4371809
     5.2740642     5.5231682
     5.3573877     5.6085419
     5.4401427     5.6933063
      5.522333     5.7774657
     5.6039624     5.8610245
     5.6850349      5.943987
     5.7655543     6.0263574
     5.8455242     6.1081399
     5.9249484     6.1893388
     6.0038308     6.2699582
     6.0821748     6.3500022
     6.1599844      6.429475
      6.237263     6.5083806
     6.3140143     6.5867231
      6.390242     6.6645065
     6.4659495     6.7417347
     6.5411404     6.8184118
     6.6158183     6.8945417
     6.6899866     6.9701282
     6.7636489     7.0451753
     6.8368086     7.1196868
      6.909469     7.1936666
     6.9816337     7.2671184
      7.053306     7.3400459
     7.1244893      7.412453
     7.1951868     7.4843434
      7.265402     7.5557207
      7.335138     7.6265886
     7.4043983     7.6969507
     7.4731859     7.7668107
     7.5415042     7.8361721
     7.6093564     7.9050385
     7.6767456     7.9734134
     7.7436749     8.0413003
     7.8101476     8.1087028
     7.8761667     8.1756242
     7.9417354      8.242068
     8.0068567     8.3080376
     8.0715336     8.3735364
     8.1357692     8.4385678
     8.1995665     8.5031351
     8.2629286     8.5672415
     8.3258582     8.6308905
     8.3883585     8.6940852
     8.4504324     8.7568289
     8.5120827     8.8191248
     8.5733123     8.8809761
     8.6341242      8.942386
     8.6945211     9.0033576
     8.7545059     9.0638941
     8.8140814     9.1239986
     8.8732505     9.1836741
     8.9320158     9.2429238
     8.9903801     9.3017506
     9.0483462     9.3601575
     9.1059168     9.4181476
     9.1630945     9.4757239
     9.2198821     9.5328892
     9.2762823     9.5896466
     9.3322976     9.6459989
     9.3879307     9.7019491
     9.4431842     9.7574999
     9.4980607     9.8126543
     9.5525627     9.8674151
     9.6066929     9.9217851
     9.6604537      9.975767
     9.7138477     10.029364
     9.7668774     10.082578
     9.8195453     10.135412
     9.8718538      10.18787
     9.9238053     10.239953
     9.9754024     10.291664
     10.026647     10.343006
     10.077543     10.393982
     10.128091     10.444594
     10.178294     10.494845
     10.228155     10.544737
     10.277675     10.594273
     10.326858     10.643455
     10.375705     10.692287
     10.424218      10.74077
     10.472401     10.788907
     10.520255     10.836701
     10.567782     10.884153
     10.614985     10.931267
     10.661866     10.978044
     10.708427     11.024488
     10.754671       11.0706
     10.800599     11.116384
     10.846213      11.16184
     10.891516     11.206972
     10.936511     11.251782
     10.981198     11.296272
      11.02558     11.340445
     11.069659     11.384302
     11.113438     11.427846
     11.156918      11.47108
     11.200101     11.514005
      11.24299     11.556624
     11.285586     11.598938
     11.327891     11.640951
     11.369908     11.682663
     11.411638     11.724078
     11.453083     11.765198
     11.494245     11.806024
     11.535127     11.846559
     11.575729     11.886804
     11.616055     11.926762
     11.656106     11.966435
     11.695883     12.005825
     11.735388     12.044934
     11.774625     12.083763
     11.813593     12.122316
     11.852296     12.160593
     11.890734     12.198597
      11.92891      12.23633
     11.966826     12.273794
     12.004483      12.31099
     12.041883     12.347921
     12.079028     12.384588
      12.11592     12.420994
     12.152559      12.45714
     12.188949     12.493027
      12.22509     12.528659
     12.260985     12.564036
     12.296635     12.599161
     12.332042     12.634036
     12.367207     12.668661
     12.402132     12.703039
     12.436819     12.737172
     12.471269     12.771061
     12.505484     12.804709
     12.539466     12.838116
     12.573215     12.871285
     12.606735     12.904217
     12.640026     12.936914
     12.673089     12.969378
     12.705927      13.00161
     12.738541     13.033612
     12.770933     13.065386
     12.803103     13.096933
     12.835054     13.128254
     12.866787     13.159353
     12.898303     13.190229
     12.929605     13.220885
     12.960692     13.251322
     12.991568     13.281542
     13.022233     13.311546
     13.052689     13.341336
     13.082937     13.370914
     13.112978      13.40028
     13.142815     13.429437
     13.172448     13.458386
     13.201878     13.487128
     13.231108     13.515665
     13.260139     13.543999
     13.288971      13.57213
     13.317607      13.60006
     13.346047     13.627791
     13.374293     13.655325
     13.402347     13.682661
     13.430209     13.709803
     13.457881     13.736751
     13.485364     13.763506
      13.51266     13.790071
     13.539769     13.816446
     13.566694     13.842633
     13.593434     13.868633
     13.619993     13.894447
      13.64637     13.920077
     13.672567     13.945524
     13.698585      13.97079
     13.724426     13.995875
      13.75009     14.020782
      13.77558      14.04551
     13.800895     14.070062
     13.826038     14.094439
     13.851009     14.118642
      13.87581     14.142672
     13.900441      14.16653
     13.924905     14.190219
     13.949201     14.213738
     13.973332      14.23709
     13.997298     14.260274
     14.021101     14.283294
     14.044741     14.306149
      14.06822     14.328841
     14.091539     14.351371
     14.114698      14.37374
       14.1377     14.395949
     14.160544        14.418
     14.183233     14.439894
     14.205767     14.461632
     14.228147     14.483214
     14.250374     14.504642
      14.27245     14.525917
     14.294375     14.547041
     14.316151     14.568014
     14.337778     14.588837
     14.359257     14.609511
      14.38059     14.630038
     14.401777     14.650418
      14.42282     14.670653
     14.443719     14.690744
     14.464476     14.710691
     14.485091     14.730496
     14.505565     14.750159
       14.5259     14.769683
     14.546095     14.789066
     14.566153     14.808312
     14.586075      14.82742
      14.60586     14.846392
      14.62551     14.865228
     14.645026      14.88393
     14.664409     14.902499
      14.68366     14.920934
     14.702779     14.939239
     14.721768     14.957413
     14.740627     14.975457
     14.759358     14.993372
     14.777961     15.011159
     14.796437      15.02882
     14.814787     15.046354
     14.833011     15.063763
     14.851112     15.081049
     14.869089      15.09821
     14.886943     15.115249
     14.904675     15.132167
     14.922286     15.148964
     14.939777     15.165641
     14.957149     15.182199
     14.974403     15.198639
     14.991538     15.214961
     15.008557     15.231167
     15.025459     15.247257
     15.042246     15.263233
     15.058919     15.279094
     15.075478     15.294843
     15.091924     15.310479
     15.108258     15.326003
      15.12448     15.341416
     15.140591      15.35672
     15.156593     15.371914
     15.172485        15.387
     15.188269     15.401978
     15.203946     15.416849
     15.219515     15.431615
     15.234978     15.446274
     15.250336      15.46083
     15.265588     15.475281
     15.280737     15.489629
     15.295782     15.503875
     15.310725     15.518019
     15.325566     15.532062
     15.340305     15.546005
     15.354944     15.559848
     15.369483     15.573593
     15.383923     15.587239
     15.398264     15.600789
     15.412508     15.614241
     15.426654     15.627597
     15.440704     15.640859
     15.454658     15.654025
     15.468516     15.667098
      15.48228     15.680077
     15.495951     15.692963
     15.509528     15.705758
     15.523012     15.718461
     15.536404     15.731074
     15.549705     15.743596
     15.562915      15.75603
     15.576035     15.768374
     15.589065     15.780631
     15.602007       15.7928
      15.61486     15.804882
     15.627626     15.816878
     15.640304     15.828788
     15.652896     15.840613
     15.665402     15.852354
     15.677823     15.864011
     15.690159     15.875585
     15.702411     15.887076
     15.714579     15.898486
     15.726664     15.909813
     15.738667      15.92106
     15.750587     15.932227
     15.762427     15.943314
     15.774185     15.954322
     15.785864     15.965251
     15.797463     15.976103
     15.808982     15.986877
     15.820423     15.997574
     15.831786     16.008194
     15.843072     16.018739
      15.85428     16.029209
     15.865412     16.039604
     15.876468     16.049925
     15.887448     16.060172
     15.898354     16.070346
     15.909185     16.080447
     15.919942     16.090476
     15.930626     16.100434
     15.941237     16.110321
     15.951776     16.120137
     15.962243     16.129883
     15.972638     16.139559
     15.982962     16.149166
     15.993216     16.158705
       16.0034     16.168176
     16.013515     16.177579
      16.02356     16.186915
     16.033537     16.196185
     16.043446     16.205388
     16.053287     16.214525
     16.063061     16.223598
     16.072768     16.232605
     16.082409     16.241549
     16.091985     16.250428
     16.101495     16.259244
      16.11094     16.267998
      16.12032     16.276688
     16.129637     16.285317
      16.13889     16.293884
      16.14808      16.30239
     16.157207     16.310835
     16.166272      16.31922
     16.175276     16.327546
     16.184217     16.335811
     16.193098     16.344018
     16.201918     16.352166
     16.210678     16.360256
     16.219378     16.368289
     16.228019     16.376264
     16.236601     16.384182
     16.245124     16.392043
     16.253589     16.399849
     16.261996     16.407599
     16.270346     16.415293
     16.278639     16.422933
     16.286876     16.430518
     16.295056     16.438049
      16.30318     16.445526
     16.311249     16.452949
     16.319263      16.46032
     16.327222     16.467638
     16.335127     16.474904
     16.342978     16.482119
     16.350776     16.489281
      16.35852     16.496393
