         VBase        Charge
             0             0
  0.0066660696   0.030836427
   0.027537138    0.06179389
   0.056941587   0.092920857
   0.087464154     0.1238018
    0.11809609    0.15456961
    0.14867815    0.18525196
    0.17918585    0.21585524
    0.20961558    0.24638089
    0.23996692    0.27682933
       0.27024    0.30720078
      0.300435    0.33749543
    0.33055212    0.36771348
    0.36059157    0.39785511
    0.39055353     0.4279205
    0.42043822    0.45790984
    0.45024584     0.4878233
    0.47997658    0.51766108
    0.50963064    0.54742335
    0.53920822     0.5771103
    0.56870951    0.60672211
    0.59813473    0.63625895
    0.62748405    0.66572102
    0.65675769    0.69510849
    0.68595582    0.72442154
    0.71507866    0.75366035
    0.74412639    0.78282509
    0.77309921    0.81191596
    0.80199731    0.84093313
    0.83082089    0.86987677
    0.85957013    0.89874706
    0.88824523    0.92754418
    0.91684639    0.95626831
    0.94537379    0.98491963
    0.97382762     1.0134983
     1.0022081     1.0420045
     1.0305153     1.0704384
     1.0587496     1.0988002
     1.0869111     1.1270901
     1.1149999     1.1553082
     1.1430163     1.1834547
     1.1709605     1.2115298
     1.1988326     1.2395337
     1.2266328     1.2674665
     1.2543614     1.2953284
     1.2820184     1.3231195
     1.3096042     1.3508401
     1.3371188     1.3784903
     1.3645624     1.4060703
     1.3919353     1.4335803
     1.4192376     1.4610204
     1.4464695     1.4883907
     1.4736312     1.5156916
     1.5007229     1.5429231
     1.5277447     1.5700854
     1.5546968     1.5971786
     1.5815795      1.624203
     1.6083928     1.6511587
      1.635137     1.6780459
     1.6618122     1.7048647
     1.6884187     1.7316153
     1.7149565     1.7582979
     1.7414259     1.7849126
     1.7678271     1.8114597
     1.7941602     1.8379392
     1.8204255     1.8643513
      1.846623     1.8906963
     1.8727529     1.9169742
     1.8988155     1.9431852
     1.9248109     1.9693295
     1.9507393     1.9954072
     1.9766008     2.0214186
     2.0023957     2.0473638
      2.028124     2.0732428
      2.053786      2.099056
     2.0793819     2.1248034
     2.1049118     2.1504853
     2.1303758     2.1761017
     2.1557742     2.2016529
     2.1811072      2.227139
     2.2063748     2.2525601
     2.2315773     2.2779164
     2.2567148     2.3032081
     2.2817875     2.3284354
     2.3067956     2.3535983
     2.3317392     2.3786971
     2.3566185     2.4037319
     2.3814336     2.4287028
     2.4061848     2.4536101
     2.4308722     2.4784538
      2.455496     2.5032341
     2.4800562     2.5279513
     2.5045532     2.5526054
      2.528987     2.5771965
     2.5533578      2.601725
     2.5776658     2.6261908
     2.6019112     2.6505941
      2.626094     2.6749352
     2.6502145     2.6992142
     2.6742729     2.7234311
     2.6982692     2.7475862
     2.7222036     2.7716796
     2.7460764     2.7957115
     2.7698876     2.8196821
     2.7936375     2.8435913
     2.8173261     2.8674395
     2.8409537     2.8912268
     2.8645204     2.9149533
     2.8880263     2.9386192
     2.9114716     2.9622245
     2.9348565     2.9857696
     2.9581812     3.0092544
     2.9814457     3.0326792
     3.0046502     3.0560442
      3.027795     3.0793493
     3.0508801     3.1025949
     3.0739056     3.1257811
     3.0968719     3.1489079
     3.1197789     3.1719756
     3.1426269     3.1949842
      3.165416      3.217934
     3.1881464     3.2408251
     3.2108182     3.2636576
     3.2334316     3.2864317
     3.2559866     3.3091474
     3.2784836     3.3318051
     3.3009225     3.3544047
     3.3233037     3.3769465
     3.3456271     3.3994305
      3.367893      3.421857
     3.3901016     3.4442261
     3.4122529     3.4665378
     3.4343471     3.4887925
     3.4563843     3.5109901
     3.4783648     3.5331308
     3.5002886     3.5552148
     3.5221559     3.5772423
     3.5439669     3.5992132
     3.5657216     3.6211279
     3.5874203     3.6429864
     3.6090631     3.6647889
     3.6306501     3.6865355
     3.6521814     3.7082264
     3.6736573     3.7298616
     3.6950778     3.7514413
     3.7164432     3.7729657
     3.7377534     3.7944349
     3.7590088     3.8158491
     3.7802094     3.8372083
     3.8013553     3.8585127
     3.8224467     3.8797625
     3.8434838     3.9009577
     3.8644667     3.9220986
     3.8853955     3.9431852
     3.9062704     3.9642176
     3.9270915     3.9851961
     3.9478589     4.0061208
     3.9685728     4.0269917
     3.9892334      4.047809
     4.0098407     4.0685729
     4.0303949     4.0892835
     4.0508961     4.1099409
     4.0713445     4.1305452
     4.0917402     4.1510966
     4.1120834     4.1715953
     4.1323741     4.1920412
     4.1526126     4.2124347
     4.1727989     4.2327757
     4.1929332     4.2530644
     4.2130156     4.2733011
     4.2330463     4.2934857
     4.2530253     4.3136184
     4.2729529     4.3336994
     4.2928291     4.3537288
     4.3126541     4.3737066
      4.332428     4.3936331
      4.352151     4.4135084
     4.3718232     4.4333325
     4.3914446     4.4531057
     4.4110155      4.472828
      4.430536     4.4924996
     4.4500062     4.5121205
     4.4694262      4.531691
     4.4887962     4.5512112
     4.5081163     4.5706811
     4.5273866     4.5901009
     4.5466072     4.6094707
     4.5657784     4.6287907
     4.5849001      4.648061
     4.6039726     4.6672816
     4.6229959     4.6864528
     4.6419702     4.7055746
     4.6608956     4.7246472
     4.6797723     4.7436706
     4.6986003     4.7626451
     4.7173799     4.7815707
      4.736111     4.8004476
     4.7547939     4.8192758
     4.7734286     4.8380556
     4.7920154     4.8567869
     4.8105542       4.87547
     4.8290453      4.894105
