        Pcore(1)        Pcore(2)
            96            24
     139.15129     67.151294
     139.61083     67.372338
     140.14546      67.62799
     140.22593     67.668774
     140.24481     67.681117
     140.25384     67.688981
     140.26132     67.696145
     140.26854     67.703189
     140.27572       67.7102
     140.28286     67.717192
     140.28999     67.724168
     140.29711     67.731128
     140.30421     67.738072
     140.31129        67.745
     140.31835     67.751912
      140.3254     67.758808
     140.33243     67.765688
     140.33945     67.772552
     140.34645       67.7794
     140.35343     67.786233
      140.3604     67.793049
     140.36735      67.79985
     140.37429     67.806635
     140.38121     67.813405
     140.38811     67.820159
       140.395     67.826897
     140.40187     67.833619
     140.40872     67.840326
     140.41556     67.847018
     140.42239     67.853694
     140.42919     67.860354
     140.43598     67.866999
     140.44276     67.873629
     140.44952     67.880243
     140.45627     67.886842
     140.46299     67.893425
     140.46971     67.899993
     140.47641     67.906546
     140.48309     67.913084
     140.48975     67.919607
      140.4964     67.926114
     140.50304     67.932606
     140.50966     67.939083
     140.51626     67.945545
     140.52285     67.951992
     140.52943     67.958424
     140.53599     67.964841
     140.54253     67.971243
     140.54906      67.97763
     140.55557     67.984003
     140.56207      67.99036
     140.56855     67.996702
     140.57502      68.00303
     140.58147     68.009343
      140.5879     68.015641
     140.59433     68.021925
     140.60073     68.028194
     140.60712     68.034448
      140.6135     68.040688
     140.61986     68.046913
     140.62621     68.053123
     140.63254     68.059319
     140.63886       68.0655
     140.64516     68.071667
     140.65145      68.07782
     140.65772     68.083958
     140.66398     68.090081
     140.67022     68.096191
     140.67645     68.102286
     140.68267     68.108367
     140.68887     68.114433
     140.69505     68.120485
     140.70122     68.126523
     140.70738     68.132547
     140.71352     68.138557
     140.71965     68.144553
     140.72576     68.150534
     140.73186     68.156502
     140.73794     68.162455
     140.74401     68.168395
     140.75007      68.17432
     140.75611     68.180232
     140.76214      68.18613
     140.76815     68.192013
     140.77415     68.197883
     140.78013     68.203739
      140.7861     68.209582
     140.79206      68.21541
       140.798     68.221225
     140.80393     68.227026
     140.80984     68.232814
     140.81574     68.238588
     140.82163     68.244348
      140.8275     68.250095
     140.83336     68.255828
     140.83921     68.261547
     140.84504     68.267253
     140.85085     68.272946
     140.85666     68.278625
     140.86245     68.284291
     140.86822     68.289943
     140.87398     68.295582
     140.87973     68.301208
     140.88547      68.30682
     140.89119     68.312419
      140.8969     68.318005
     140.90259     68.323578
     140.90827     68.329137
     140.91394     68.334683
     140.91959     68.340216
     140.92523     68.345736
     140.93086     68.351243
     140.93648     68.356737
     140.94208     68.362218
     140.94766     68.367686
     140.95324     68.373141
      140.9588     68.378583
     140.96435     68.384012
     140.96988     68.389428
      140.9754     68.394832
     140.98091     68.400222
      140.9864       68.4056
     140.99189     68.410965
     140.99736     68.416317
     141.00281     68.421656
     141.00825     68.426983
     141.01368     68.432297
      141.0191     68.437599
      141.0245     68.442888
      141.0299     68.448164
     141.03527     68.453428
     141.04064     68.458679
     141.04599     68.463918
     141.05133     68.469144
     141.05666     68.474358
     141.06197     68.479559
     141.06728     68.484748
     141.07257     68.489925
     141.07784     68.495089
     141.08311     68.500241
     141.08836     68.505381
      141.0936     68.510508
     141.09882     68.515624
     141.10404     68.520727
     141.10924     68.525817
     141.11443     68.530896
      141.1196     68.535963
     141.12477     68.541017
     141.12992      68.54606
     141.13506      68.55109
     141.14019     68.556108
      141.1453     68.561115
     141.15041     68.566109
      141.1555     68.571091
     141.16058     68.576062
     141.16564     68.581021
      141.1707     68.585967
     141.17574     68.590902
     141.18077     68.595825
     141.18579     68.600737
     141.19079     68.605636
     141.19579     68.610524
     141.20077       68.6154
     141.20574     68.620265
      141.2107     68.625118
     141.21564     68.629959
     141.22058     68.634788
      141.2255     68.639606
     141.23041     68.644413
     141.23531     68.649208
     141.24019     68.653991
     141.24507     68.658763
     141.24993     68.663523
     141.25479     68.668273
     141.25963      68.67301
     141.26445     68.677736
     141.26927     68.682451
     141.27408     68.687155
     141.27887     68.691847
     141.28365     68.696528
     141.28842     68.701198
     141.29318     68.705857
     141.29793     68.710504
     141.30267      68.71514
     141.30739     68.719765
     141.31211     68.724379
     141.31681     68.728982
      141.3215     68.733574
     141.32618     68.738154
     141.33085     68.742724
     141.33551     68.747283
     141.34015      68.75183
     141.34479     68.756367
     141.34941     68.760893
     141.35402     68.765408
     141.35862     68.769912
     141.36321     68.774405
     141.36779     68.778887
     141.37236     68.783358
     141.37692     68.787819
     141.38147     68.792269
       141.386     68.796708
     141.39052     68.801137
     141.39504     68.805555
     141.39954     68.809962
     141.40403     68.814358
     141.40851     68.818744
     141.41298     68.823119
     141.41744     68.827484
     141.42189     68.831838
     141.42633     68.836182
     141.43075     68.840515
     141.43517     68.844838
     141.43957      68.84915
     141.44397     68.853452
     141.44835     68.857743
     141.45273     68.862024
     141.45709     68.866295
     141.46144     68.870555
     141.46578     68.874805
     141.47011     68.879045
     141.47443     68.883274
     141.47874     68.887494
     141.48304     68.891703
     141.48733     68.895901
     141.49161      68.90009
     141.49588     68.904269
     141.50014     68.908437
     141.50439     68.912595
     141.50862     68.916743
     141.51285     68.920882
     141.51707      68.92501
     141.52128     68.929128
     141.52547     68.933236
     141.52966     68.937334
     141.53383     68.941422
       141.538       68.9455
     141.54216     68.949569
      141.5463     68.953627
     141.55044     68.957676
     141.55456     68.961715
     141.55868     68.965744
     141.56279     68.969763
     141.56688     68.973772
     141.57097     68.977772
     141.57504     68.981762
     141.57911     68.985742
     141.58316     68.989713
     141.58721     68.993674
     141.59125     68.997625
     141.59527     69.001567
     141.59929     69.005499
      141.6033     69.009421
     141.60729     69.013334
     141.61128     69.017238
     141.61526     69.021132
     141.61923     69.025016
     141.62318     69.028891
     141.62713     69.032757
     141.63107     69.036613
       141.635      69.04046
     141.63892     69.044297
     141.64283     69.048125
     141.64673     69.051944
     141.65062     69.055753
     141.65451     69.059553
     141.65838     69.063344
     141.66224     69.067126
     141.66609     69.070898
     141.66994     69.074662
     141.67377     69.078416
      141.6776      69.08216
     141.68141     69.085896
     141.68522     69.089623
     141.68902      69.09334
     141.69281     69.097049
     141.69658     69.100748
     141.70035     69.104438
     141.70411      69.10812
     141.70787     69.111792
     141.71161     69.115456
     141.71534      69.11911
     141.71906     69.122755
     141.72278     69.126392
     141.72648      69.13002
     141.73018     69.133639
     141.73387     69.137249
     141.73755      69.14085
     141.74122     69.144442
     141.74488     69.148026
     141.74853       69.1516
     141.75217     69.155166
      141.7558     69.158724
     141.75943     69.162272
     141.76304     69.165812
     141.76665     69.169344
     141.77025     69.172866
     141.77384      69.17638
     141.77742     69.179886
     141.78099     69.183382
     141.78455     69.186871
     141.78811      69.19035
     141.79165     69.193821
     141.79519     69.197284
     141.79872     69.200738
     141.80224     69.204184
     141.80575     69.207621
     141.80925      69.21105
     141.81274      69.21447
     141.81623     69.217882
      141.8197     69.221286
     141.82317     69.224681
     141.82663     69.228068
     141.83008     69.231447
     141.83353     69.234817
     141.83696     69.238179
     141.84038     69.241533
      141.8438     69.244879
     141.84721     69.248216
     141.85061     69.251546
       141.854     69.254867
     141.85739     69.258179
     141.86076     69.261484
     141.86413     69.264781
     141.86749     69.268069
     141.87084      69.27135
     141.87418     69.274622
     141.87751     69.277886
     141.88084     69.281143
     141.88416     69.284391
     141.88747     69.287631
     141.89077     69.290864
     141.89406     69.294088
     141.89735     69.297304
     141.90062     69.300513
     141.90389     69.303714
     141.90715     69.306906
     141.91041     69.310091
     141.91365     69.313268
     141.91689     69.316438
     141.92012     69.319599
     141.92334     69.322753
     141.92655     69.325899
     141.92976     69.329037
     141.93295     69.332167
     141.93614      69.33529
     141.93933     69.338405
      141.9425     69.341512
     141.94566     69.344612
     141.94882     69.347704
     141.95197     69.350788
     141.95512     69.353865
     141.95825     69.356934
     141.96138     69.359996
      141.9645      69.36305
     141.96761     69.366097
     141.97071     69.369136
     141.97381     69.372167
      141.9769     69.375192
     141.97998     69.378208
     141.98305     69.381217
     141.98612     69.384219
     141.98917     69.387213
     141.99223       69.3902
     141.99527      69.39318
      141.9983     69.396152
     142.00133     69.399117
     142.00435     69.402075
     142.00737     69.405025
     142.01037     69.407968
     142.01337     69.410904
     142.01636     69.413832
     142.01934     69.416753
     142.02232     69.419667
     142.02529     69.422574
     142.02825     69.425474
      142.0312     69.428366
     142.03415     69.431252
     142.03709      69.43413
     142.04002     69.437001
     142.04295     69.439865
     142.04586     69.442722
     142.04878     69.445571
     142.05168     69.448414
     142.05457      69.45125
     142.05746     69.454078
     142.06034       69.4569
     142.06322     69.459715
     142.06609     69.462523
     142.06895     69.465323
      142.0718     69.468117
     142.07465     69.470904
     142.07749     69.473684
     142.08032     69.476457
     142.08314     69.479224
     142.08596     69.481983
     142.08877     69.484736
     142.09158     69.487482
     142.09437     69.490221
     142.09716     69.492953
     142.09995     69.495678
     142.10272     69.498397
     142.10549     69.501109
     142.10826     69.503814
     142.11101     69.506512
     142.11376     69.509204
      142.1165     69.511889
     142.11924     69.514568
     142.12197      69.51724
     142.12469     69.519905
      142.1274     69.522564
     142.13011     69.525216
     142.13281     69.527861
     142.13551       69.5305
      142.1382     69.533132
     142.14088     69.535758
     142.14355     69.538377
     142.14622      69.54099
     142.14888     69.543596
     142.15154     69.546196
     142.15419     69.548789
     142.15683     69.551376
     142.15946     69.553957
     142.16209     69.556531
     142.16472     69.559099
     142.16733      69.56166
     142.16994     69.564215
     142.17254     69.566763
     142.17514     69.569306
     142.17773     69.571842
     142.18031     69.574371
     142.18289     69.576895
     142.18546     69.579412
     142.18802     69.581922
     142.19058     69.584427
     142.19313     69.586925
     142.19568     69.589418
     142.19822     69.591904
     142.20075     69.594383
     142.20327     69.596857
     142.20579     69.599324
     142.20831     69.601786
     142.21082     69.604241
     142.21332      69.60669
     142.21581     69.609133
      142.2183      69.61157
     142.22078     69.614001
     142.22326     69.616425
     142.22573     69.618844
     142.22819     69.621257
     142.23065     69.623664
      142.2331     69.626064
     142.23555     69.628459
     142.23799     69.630848
     142.24042     69.633231
     142.24285     69.635608
     142.24527     69.637979
     142.24768     69.640344
     142.25009     69.642703
      142.2525     69.645056
     142.25489     69.647404
     142.25728     69.649745
     142.25967     69.652081
     142.26205     69.654411
     142.26442     69.656735
     142.26679     69.659053
     142.26915     69.661366
     142.27151     69.663673
     142.27386     69.665974
      142.2762     69.668269
     142.27854     69.670559
     142.28087     69.672842
      142.2832     69.675121
     142.28552     69.677393
     142.28783      69.67966
     142.29014     69.681921
     142.29244     69.684177
     142.29474     69.686426
     142.29703     69.688671
     142.29932     69.690909
      142.3016     69.693142
     142.30388      69.69537
     142.30614     69.697592
     142.30841     69.699808
     142.31067     69.702019
     142.31292     69.704225
     142.31516     69.706424
      142.3174     69.708619
     142.31964     69.710808
     142.32187     69.712991
     142.32409     69.715169
     142.32631     69.717341
     142.32852     69.719509
     142.33073      69.72167
     142.33293     69.723826
     142.33513     69.725977
     142.33732     69.728123
     142.33951     69.730263
     142.34169     69.732398
     142.34386     69.734527
     142.34603     69.736651
     142.34819      69.73877
     142.35035     69.740884
      142.3525     69.742992
     142.35465     69.745095
     142.35679     69.747193
     142.35893     69.749285
     142.36106     69.751372
     142.36319     69.753454
     142.36531     69.755531
     142.36742     69.757603
     142.36953     69.759669
     142.37164      69.76173
     142.37374     69.763787
     142.37583     69.765837
     142.37792     69.767883
     142.38001     69.769924
     142.38208      69.77196
     142.38416      69.77399
     142.38623     69.776015
     142.38829     69.778036
     142.39035     69.780051
      142.3924     69.782061
     142.39445     69.784067
     142.39649     69.786067
     142.39853     69.788062
     142.40056     69.790052
     142.40259     69.792037
     142.40461     69.794017
     142.40663     69.795993
     142.40864     69.797963
     142.41064     69.799928
     142.41265     69.801889
     142.41464     69.803844
     142.41663     69.805795
     142.41862     69.807741
      142.4206     69.809682
     142.42258     69.811618
     142.42455     69.813549
     142.42652     69.815475
     142.42848     69.817397
     142.43044     69.819313
     142.43239     69.821225
     142.43434     69.823132
     142.43628     69.825035
     142.43822     69.826932
     142.44015     69.828825
     142.44208     69.830713
       142.444     69.832596
     142.44592     69.834475
     142.44783     69.836348
     142.44974     69.838218
     142.45164     69.840082
     142.45354     69.841942
     142.45544     69.843797
     142.45733     69.845647
     142.45921     69.847493
     142.46109     69.849334
     142.46297     69.851171
     142.46484     69.853003
      142.4667      69.85483
     142.46857     69.856653
     142.47042     69.858471
     142.47227     69.860285
     142.47412     69.862094
     142.47596     69.863898
      142.4778     69.865698
     142.47963     69.867494
     142.48146     69.869285
     142.48329     69.871071
     142.48511     69.872853
     142.48692     69.874631
     142.48873     69.876404
     142.49054     69.878172
     142.49234     69.879936
     142.49414     69.881696
     142.49593     69.883451
     142.49772     69.885202
      142.4995     69.886949
     142.50128     69.888691
     142.50305     69.890428
     142.50482     69.892162
     142.50659     69.893891
     142.50835     69.895615
     142.51011     69.897336
     142.51186     69.899052
     142.51361     69.900763
     142.51535     69.902471
     142.51709     69.904174
     142.51882     69.905872
     142.52055     69.907567
     142.52228     69.909257
       142.524     69.910943
     142.52572     69.912625
     142.52743     69.914302
     142.52914     69.915976
     142.53084     69.917645
     142.53254      69.91931
     142.53424      69.92097
     142.53593     69.922627
     142.53762     69.924279
      142.5393     69.925927
     142.54098     69.927572
     142.54265     69.929211
     142.54432     69.930847
     142.54599     69.932479
     142.54765     69.934106
     142.54931      69.93573
     142.55096     69.937349
     142.55261     69.938965
     142.55426     69.940576
      142.5559     69.942183
     142.55753     69.943786
     142.55917     69.945385
      142.5608      69.94698
     142.56242     69.948571
     142.56404     69.950158
     142.56566     69.951741
     142.56727      69.95332
     142.56888     69.954895
     142.57048     69.956467
     142.57208     69.958034
     142.57368     69.959597
     142.57527     69.961156
     142.57686     69.962711
     142.57844     69.964263
     142.58002      69.96581
      142.5816     69.967354
     142.58317     69.968894
     142.58474      69.97043
      142.5863     69.971962
     142.58786      69.97349
     142.58942     69.975014
     142.59097     69.976534
     142.59252     69.978051
     142.59406     69.979564
     142.59561     69.981073
     142.59714     69.982578
     142.59867     69.984079
      142.6002     69.985577
     142.60173      69.98707
     142.60325      69.98856
     142.60477     69.990047
     142.60628     69.991529
     142.60779     69.993008
      142.6093     69.994483
      142.6108     69.995954
      142.6123     69.997422
     142.61379     69.998886
     142.61528     70.000346
     142.61677     70.001802
     142.61825     70.003255
     142.61973     70.004704
     142.62121      70.00615
     142.62268     70.007592
     142.62415      70.00903
     142.62562     70.010465
     142.62708     70.011896
     142.62853     70.013323
     142.62999     70.014747
     142.63144     70.016167
     142.63288     70.017583
     142.63433     70.018996
     142.63577     70.020406
      142.6372     70.021812
     142.63863     70.023214
     142.64006     70.024613
     142.64149     70.026008
     142.64291       70.0274
     142.64432     70.028788
     142.64574     70.030173
     142.64715     70.031554
     142.64855     70.032932
     142.64996     70.034306
     142.65136     70.035677
     142.65275     70.037044
     142.65415     70.038408
     142.65553     70.039768
     142.65692     70.041125
      142.6583     70.042479
     142.65968     70.043829
     142.66106     70.045176
     142.66243     70.046519
      142.6638     70.047859
     142.66516     70.049196
     142.66652     70.050529
     142.66788     70.051858
     142.66923     70.053185
     142.67058     70.054508
     142.67193     70.055828
     142.67328     70.057144
     142.67462     70.058457
     142.67595     70.059767
     142.67729     70.061073
     142.67862     70.062376
     142.67994     70.063676
     142.68127     70.064973
     142.68259     70.066266
     142.68391     70.067556
     142.68522     70.068843
     142.68653     70.070126
     142.68784     70.071407
     142.68914     70.072684
     142.69044     70.073957
     142.69174     70.075228
     142.69303     70.076495
     142.69432     70.077759
     142.69561      70.07902
     142.69689     70.080278
     142.69818     70.081533
     142.69945     70.082784
     142.70073     70.084032
       142.702     70.085277
     142.70327     70.086519
     142.70453     70.087758
     142.70579     70.088994
     142.70705     70.090226
     142.70831     70.091455
     142.70956     70.092682
     142.71081     70.093905
     142.71205     70.095125
      142.7133     70.096342
     142.71453     70.097556
     142.71577     70.098767
       142.717     70.099974
     142.71823     70.101179
     142.71946     70.102381
     142.72068     70.103579
     142.72191     70.104775
     142.72312     70.105967
     142.72434     70.107157
     142.72555     70.108344
     142.72676     70.109527
     142.72796     70.110708
     142.72916     70.111885
     142.73036      70.11306
     142.73156     70.114231
     142.73275       70.1154
     142.73394     70.116565
     142.73513     70.117728
     142.73631     70.118888
      142.7375     70.120045
     142.73867     70.121199
     142.73985      70.12235
     142.74102     70.123498
     142.74219     70.124643
     142.74336     70.125785
     142.74452     70.126924
     142.74568     70.128061
     142.74684     70.129194
     142.74799     70.130325
