         VBase        Charge
             0             0
    0.20134331  0.0030873456
    0.59713974  0.0061773714
    0.97950676  0.0092751936
     1.3490163   0.012378703
     1.7061028    0.01548761
     2.0511858   0.018601632
     2.3846706   0.021720494
     2.7069486   0.024843929
     3.0183978   0.027971682
     3.3193835   0.031103505
     3.6102584   0.034239159
     3.8913634   0.037378415
     4.1630277   0.040521053
     4.4255694    0.04366686
     4.6792958   0.046815634
     4.9245037   0.049967178
       5.16148   0.053121304
     5.3905018   0.056277833
     5.6118368   0.059436591
     5.8257437   0.062597414
     6.0324724   0.065760143
     6.2322644   0.068924626
     6.4253531   0.072090716
     6.6119638   0.075258276
     6.7923144   0.078427172
     6.9666153   0.081597277
       7.13507   0.084768469
     7.2978748   0.087940631
     7.4552197   0.091113654
     7.6072881   0.094287431
     7.7542573    0.09746186
     7.8962986    0.10063685
     8.0335775     0.1038123
      8.166254    0.10698813
     8.2944826    0.11016425
     8.4184126    0.11334058
     8.5381885    0.11651706
     8.6539496     0.1196936
     8.7658307    0.12287014
      8.873962    0.12604662
     8.9784694    0.12922297
     9.0794745    0.13239913
     9.1770948    0.13557505
     9.2714438    0.13875068
     9.3626314    0.14192596
     9.4507636    0.14510085
     9.5359429    0.14827531
     9.6182682    0.15144929
     9.6978354    0.15462275
     9.7747369    0.15779566
     9.8490622    0.16096798
     9.9208975    0.16413967
     9.9903265    0.16731071
      10.05743    0.17048106
     10.122285     0.1736507
     10.184968     0.1768196
     10.245552    0.17998774
     10.304106    0.18315508
     10.360699    0.18632162
     10.415397    0.18948733
     10.468263    0.19265219
     10.519358    0.19581619
     10.568742     0.1989793
     10.616472    0.20214152
     10.662604    0.20530282
     10.707191     0.2084632
     10.750285    0.21162264
     10.791936    0.21478113
     10.832192    0.21793866
       10.8711    0.22109522
     10.908705     0.2242508
     10.945051     0.2274054
      10.98018      0.230559
     11.014133    0.23371161
     11.046949     0.2368632
     11.078666    0.24001379
     11.109322    0.24316336
     11.138951     0.2463119
     11.167587    0.24945942
     11.195266    0.25260592
     11.222017    0.25575138
     11.247873     0.2588958
     11.272863     0.2620392
     11.297016    0.26518155
     11.320361    0.26832286
     11.342925    0.27146314
     11.364733    0.27460237
     11.385811    0.27774057
     11.406183    0.28087772
     11.425873    0.28401383
     11.444904     0.2871489
     11.463298    0.29028293
     11.481076    0.29341592
     11.498259    0.29654787
     11.514867    0.29967878
     11.530919    0.30280866
     11.546434     0.3059375
     11.561429    0.30906531
     11.575922    0.31219209
      11.58993    0.31531784
      11.60347    0.31844256
     11.616556    0.32156626
     11.629204    0.32468894
     11.641428    0.32781059
     11.653243    0.33093123
     11.664663    0.33405085
     11.675701    0.33716946
     11.686369    0.34028705
      11.69668    0.34340364
     11.706646    0.34651923
     11.716278    0.34963381
     11.725588    0.35274739
     11.734587    0.35585997
     11.743284    0.35897156
      11.75169    0.36208216
     11.759814    0.36519177
     11.767667    0.36830039
     11.775257    0.37140803
     11.782592    0.37451469
     11.789683    0.37762037
     11.796536    0.38072508
     11.803159    0.38382882
     11.809561    0.38693159
     11.815749    0.39003339
     11.821729    0.39313422
     11.827509     0.3962341
     11.833096    0.39933302
     11.838496    0.40243099
     11.843715      0.405528
     11.848759    0.40862406
     11.853635    0.41171918
     11.858347    0.41481335
     11.862902    0.41790658
     11.867304    0.42099887
     11.871559    0.42409022
     11.875672    0.42718064
     11.879646    0.43027013
     11.883488    0.43335869
     11.887201    0.43644632
      11.89079    0.43953303
     11.894259    0.44261882
     11.897612    0.44570369
     11.900852    0.44878764
     11.903984    0.45187068
     11.907011     0.4549528
     11.909937    0.45803402
     11.912765    0.46111433
     11.915498    0.46419373
      11.91814    0.46727223
     11.920694    0.47034982
     11.923162    0.47342652
     11.925547    0.47650232
     11.927852    0.47957722
     11.930081    0.48265124
     11.932234    0.48572436
     11.934316    0.48879659
     11.936328    0.49186793
     11.938273    0.49493839
     11.940152    0.49800796
     11.941969    0.50107665
     11.943725    0.50414446
     11.945422    0.50721139
     11.947062    0.51027745
     11.948648    0.51334263
      11.95018    0.51640693
     11.951661    0.51947037
     11.953092    0.52253293
     11.954476    0.52559462
     11.955813    0.52865545
     11.957106    0.53171541
     11.958355    0.53477451
     11.959562    0.53783274
      11.96073    0.54089011
     11.961857    0.54394662
     11.962948    0.54700227
     11.964001    0.55005707
      11.96502      0.553111
     11.966004    0.55616409
     11.966956    0.55921632
     11.967875    0.56226769
     11.968764    0.56531822
     11.969623    0.56836789
     11.970453    0.57141672
     11.971256     0.5744647
     11.972032    0.57751183
     11.972781    0.58055812
     11.973506    0.58360356
     11.974206    0.58664816
     11.974883    0.58969191
     11.975537    0.59273483
      11.97617     0.5957769
     11.976781    0.59881813
     11.977372    0.60185853
     11.977943    0.60489809
     11.978494    0.60793681
     11.979028     0.6109747
     11.979543    0.61401175
     11.980042    0.61704796
     11.980523    0.62008335
     11.980989     0.6231179
     11.981439    0.62615162
     11.981874    0.62918451
     11.982294    0.63221657
       11.9827     0.6352478
     11.983093     0.6382782
     11.983472    0.64130778
     11.983839    0.64433653
     11.984193    0.64736445
     11.984536    0.65039155
     11.984867    0.65341782
     11.985187    0.65644327
     11.985497    0.65946789
     11.985796    0.66249169
     11.986085    0.66551467
     11.986364    0.66853683
     11.986634    0.67155817
     11.986895    0.67457869
     11.987147    0.67759839
     11.987391    0.68061727
     11.987627    0.68363533
     11.987855    0.68665258
     11.988075      0.689669
     11.988287    0.69268461
     11.988493    0.69569941
     11.988692    0.69871339
     11.988884    0.70172655
      11.98907     0.7047389
     11.989249    0.70775044
     11.989422    0.71076116
      11.98959    0.71377107
     11.989752    0.71678017
     11.989909    0.71978845
      11.99006    0.72279593
     11.990206    0.72580259
     11.990348    0.72880844
     11.990485    0.73181348
     11.990617    0.73481772
     11.990744    0.73782114
     11.990868    0.74082376
     11.990987    0.74382556
     11.991102    0.74682656
     11.991214    0.74982675
     11.991321    0.75282614
     11.991425    0.75582471
     11.991526    0.75882249
     11.991623    0.76181945
     11.991717    0.76481561
     11.991808    0.76781097
     11.991896    0.77080552
     11.991981    0.77379926
     11.992063    0.77679221
     11.992142    0.77978435
     11.992219    0.78277568
     11.992293    0.78576621
     11.992364    0.78875594
     11.992434    0.79174487
       11.9925      0.794733
     11.992565    0.79772033
     11.992628    0.80070685
     11.992688    0.80369257
     11.992746     0.8066775
     11.992803    0.80966162
     11.992857    0.81264494
      11.99291    0.81562747
     11.992961    0.81860919
      11.99301    0.82159012
     11.993058    0.82457024
     11.993104    0.82754957
     11.993148     0.8305281
     11.993191    0.83350584
     11.993232    0.83648278
     11.993273    0.83945892
     11.993311    0.84243426
     11.993349    0.84540881
     11.993385    0.84838256
      11.99342    0.85135551
     11.993454    0.85432767
     11.993487    0.85729904
     11.993518     0.8602696
     11.993549    0.86323938
     11.993578    0.86620836
     11.993607    0.86917655
     11.993635    0.87214394
     11.993661    0.87511054
     11.993687    0.87807634
     11.993712    0.88104136
     11.993736    0.88400558
     11.993759      0.886969
     11.993782    0.88993164
     11.993804    0.89289348
     11.993825    0.89585454
     11.993845     0.8988148
     11.993865    0.90177427
     11.993883    0.90473294
     11.993902    0.90769083
      11.99392    0.91064793
     11.993937    0.91360424
     11.993953    0.91655976
     11.993969    0.91951448
     11.993985    0.92246842
        11.994    0.92542157
     11.994014    0.92837393
     11.994028     0.9313255
     11.994042    0.93427629
     11.994055    0.93722628
     11.994067    0.94017549
     11.994079    0.94312391
     11.994091    0.94607154
     11.994103    0.94901839
     11.994114    0.95196445
     11.994124    0.95490972
     11.994135    0.95785421
     11.994144    0.96079791
     11.994154    0.96374082
     11.994163    0.96668295
     11.994172    0.96962429
     11.994181    0.97256485
     11.994189    0.97550462
     11.994198     0.9784436
     11.994205    0.98138181
     11.994213    0.98431922
      11.99422    0.98725586
     11.994227    0.99019171
     11.994234    0.99312677
     11.994241    0.99606106
     11.994247    0.99899456
     11.994253     1.0019273
     11.994259     1.0048592
     11.994265     1.0077904
     11.994271     1.0107207
     11.994276     1.0136503
     11.994281     1.0165791
     11.994286     1.0195071
     11.994291     1.0224344
     11.994296     1.0253608
       11.9943     1.0282865
     11.994305     1.0312114
     11.994309     1.0341355
     11.994313     1.0370589
     11.994317     1.0399814
     11.994321     1.0429032
     11.994325     1.0458242
     11.994328     1.0487444
     11.994332     1.0516639
     11.994335     1.0545825
     11.994338     1.0575004
     11.994341     1.0604175
     11.994344     1.0633338
     11.994347     1.0662494
      11.99435     1.0691642
     11.994353     1.0720782
     11.994355     1.0749914
