        Pcore(1)        Pcore(2)
      155.3045     58.468656
     155.30451     58.468664
     155.30451      58.46867
     155.30452     58.468677
     155.30453     58.468683
     155.30453      58.46869
     155.30454     58.468696
     155.30454     58.468702
     155.30455     58.468707
     155.30456     58.468713
     155.30456     58.468718
     155.30457     58.468723
     155.30457     58.468728
     155.30458     58.468733
     155.30458     58.468737
     155.30459     58.468742
     155.30459     58.468746
     155.30459      58.46875
      155.3046     58.468754
      155.3046     58.468758
     155.30461     58.468762
     155.30461     58.468765
     155.30461     58.468769
     155.30462     58.468772
     155.30462     58.468775
     155.30462     58.468778
     155.30463     58.468781
     155.30463     58.468784
     155.30463     58.468787
     155.30464      58.46879
     155.30464     58.468793
     155.30464     58.468795
     155.30464     58.468798
     155.30465       58.4688
     155.30465     58.468802
     155.30465     58.468805
     155.30465     58.468807
     155.30466     58.468809
     155.30466     58.468811
     155.30466     58.468813
     155.30466     58.468815
     155.30466     58.468817
     155.30466     58.468818
     155.30467      58.46882
     155.30467     58.468822
     155.30467     58.468823
     155.30467     58.468825
     155.30467     58.468826
     155.30467     58.468828
     155.30468     58.468829
     155.30468     58.468831
     155.30468     58.468832
     155.30468     58.468833
     155.30468     58.468834
     155.30468     58.468835
     155.30468     58.468837
     155.30468     58.468838
     155.30469     58.468839
     155.30469      58.46884
     155.30469     58.468841
     155.30469     58.468842
     155.30469     58.468843
     155.30469     58.468844
     155.30469     58.468844
     155.30469     58.468845
     155.30469     58.468846
     155.30469     58.468847
     155.30469     58.468848
      155.3047     58.468848
      155.3047     58.468849
      155.3047      58.46885
      155.3047      58.46885
      155.3047     58.468851
      155.3047     58.468852
      155.3047     58.468852
      155.3047     58.468853
      155.3047     58.468853
      155.3047     58.468854
      155.3047     58.468854
      155.3047     58.468855
      155.3047     58.468855
      155.3047     58.468856
      155.3047     58.468856
      155.3047     58.468857
      155.3047     58.468857
     155.30471     58.468858
     155.30471     58.468858
     155.30471     58.468858
     155.30471     58.468859
     155.30471     58.468859
     155.30471     58.468859
     155.30471      58.46886
     155.30471      58.46886
     155.30471      58.46886
     155.30471     58.468861
     155.30471     58.468861
     155.30471     58.468861
     155.30471     58.468862
     155.30471     58.468862
