        Pcore(1)        Pcore(2)
            65            65
     438.97788     438.97788
      457.4983      457.4983
     464.53719     464.53719
     463.33954     463.33954
     467.55569     467.55569
     467.41714     467.41714
     470.56311     470.56311
     471.06143     471.06143
     473.52357     473.52357
      474.3692      474.3692
     476.38164     476.38164
     477.40146     477.40146
     479.10785     479.10785
     480.19922     480.19922
     481.68836     481.68836
     482.79126     482.79126
     484.11868     484.11868
     485.19873     485.19873
     486.39977     486.39977
     487.43804     487.43804
     488.53577     488.53577
     489.52257     489.52257
     490.53259     490.53259
     491.46369     491.46369
       492.397       492.397
     493.27144     493.27144
     494.13618     494.13618
     494.95485     494.95485
     495.75738     495.75738
     496.52222     496.52222
     497.26771     497.26771
     497.98122     497.98122
     498.67408     498.67408
     499.33901     499.33901
     499.98311     499.98311
      500.6023      500.6023
     501.20111     501.20111
     501.77737     501.77737
     502.33406     502.33406
     502.87012     502.87012
     503.38759     503.38759
     503.88608     503.88608
     504.36704     504.36704
     504.83044     504.83044
     505.27739     505.27739
     505.70808     505.70808
     506.12337     506.12337
     506.52356     506.52356
     506.90935     506.90935
     507.28113     507.28113
     507.63949     507.63949
     507.98481     507.98481
     508.31762     508.31762
     508.63832     508.63832
     508.94737     508.94737
     509.24516     509.24516
     509.53211     509.53211
     509.80859     509.80859
     510.07498     510.07498
     510.33165     510.33165
     510.57893     510.57893
     510.81717     510.81717
      511.0467      511.0467
     511.26782     511.26782
     511.48084     511.48084
     511.68605     511.68605
     511.88373     511.88373
     512.07415     512.07415
     512.25759     512.25759
     512.43428     512.43428
     512.60448     512.60448
     512.76842     512.76842
     512.92634     512.92634
     513.07843     513.07843
     513.22493     513.22493
     513.36603     513.36603
     513.50193     513.50193
     513.63283     513.63283
     513.75889     513.75889
     513.88031     513.88031
     513.99724     513.99724
     514.10986     514.10986
     514.21832     514.21832
     514.32278     514.32278
     514.42337     514.42337
     514.52025     514.52025
     514.61355     514.61355
     514.70339     514.70339
     514.78992     514.78992
     514.87324     514.87324
     514.95349     514.95349
     515.03076     515.03076
     515.10517     515.10517
     515.17683     515.17683
     515.24583     515.24583
     515.31228     515.31228
     515.37627     515.37627
     515.43788     515.43788
     515.49722     515.49722
     515.55435     515.55435
     515.60937     515.60937
     515.66234     515.66234
     515.71336     515.71336
     515.76248     515.76248
     515.80978     515.80978
     515.85532     515.85532
     515.89918     515.89918
     515.94141     515.94141
     515.98207     515.98207
     516.02122     516.02122
     516.05892     516.05892
     516.09523     516.09523
     516.13018     516.13018
     516.16384     516.16384
     516.19624     516.19624
     516.22745     516.22745
     516.25749     516.25749
     516.28642     516.28642
     516.31427     516.31427
      516.3411      516.3411
     516.36692     516.36692
     516.39178     516.39178
     516.41573     516.41573
     516.43878     516.43878
     516.46097     516.46097
     516.48234     516.48234
     516.50292     516.50292
     516.52273     516.52273
     516.54181     516.54181
     516.56018     516.56018
     516.57786     516.57786
     516.59489     516.59489
     516.61128     516.61128
     516.62707     516.62707
     516.64227     516.64227
      516.6569      516.6569
     516.67099     516.67099
     516.68456     516.68456
     516.69762     516.69762
     516.71019     516.71019
      516.7223      516.7223
     516.73396     516.73396
     516.74518     516.74518
     516.75599     516.75599
      516.7664      516.7664
     516.77642     516.77642
     516.78606     516.78606
     516.79535     516.79535
     516.80429     516.80429
      516.8129      516.8129
     516.82119     516.82119
     516.82917     516.82917
     516.83686     516.83686
     516.84425     516.84425
     516.85138     516.85138
     516.85824     516.85824
     516.86484     516.86484
      516.8712      516.8712
     516.87732     516.87732
     516.88321     516.88321
     516.88889     516.88889
     516.89435     516.89435
     516.89961     516.89961
     516.90467     516.90467
     516.90955     516.90955
     516.91425     516.91425
     516.91877     516.91877
     516.92312     516.92312
     516.92731     516.92731
     516.93134     516.93134
     516.93523     516.93523
     516.93897     516.93897
     516.94257     516.94257
     516.94603     516.94603
     516.94937     516.94937
     516.95258     516.95258
     516.95568     516.95568
     516.95866     516.95866
     516.96152     516.96152
     516.96429     516.96429
     516.96694     516.96694
      516.9695      516.9695
     516.97197     516.97197
     516.97434     516.97434
     516.97663     516.97663
     516.97883     516.97883
     516.98094     516.98094
     516.98298     516.98298
     516.98494     516.98494
     516.98683     516.98683
     516.98865     516.98865
     516.99041     516.99041
     516.99209     516.99209
     516.99372     516.99372
     516.99528     516.99528
     516.99679     516.99679
     516.99824     516.99824
     516.99963     516.99963
     517.00097     517.00097
     517.00227     517.00227
     517.00351     517.00351
     517.00471     517.00471
     517.00587     517.00587
     517.00698     517.00698
     517.00805     517.00805
     517.00908     517.00908
     517.01007     517.01007
     517.01103     517.01103
     517.01195     517.01195
     517.01283     517.01283
     517.01368     517.01368
     517.01451     517.01451
      517.0153      517.0153
     517.01606     517.01606
     517.01679     517.01679
     517.01749     517.01749
     517.01817     517.01817
     517.01883     517.01883
     517.01946     517.01946
     517.02006     517.02006
     517.02065     517.02065
     517.02121     517.02121
     517.02175     517.02175
     517.02227     517.02227
     517.02277     517.02277
     517.02325     517.02325
     517.02372     517.02372
     517.02416     517.02416
      517.0246      517.0246
     517.02501     517.02501
     517.02541     517.02541
     517.02579     517.02579
     517.02616     517.02616
     517.02652     517.02652
     517.02686     517.02686
     517.02719     517.02719
     517.02751     517.02751
     517.02782     517.02782
     517.02811     517.02811
      517.0284      517.0284
     517.02867     517.02867
     517.02893     517.02893
     517.02919     517.02919
     517.02943     517.02943
     517.02967     517.02967
     517.02989     517.02989
     517.03011     517.03011
     517.03032     517.03032
     517.03052     517.03052
     517.03072     517.03072
      517.0309      517.0309
     517.03108     517.03108
     517.03126     517.03126
     517.03142     517.03142
     517.03158     517.03158
     517.03174     517.03174
     517.03189     517.03189
     517.03203     517.03203
     517.03217     517.03217
      517.0323      517.0323
     517.03243     517.03243
     517.03255     517.03255
     517.03267     517.03267
     517.03279     517.03279
      517.0329      517.0329
       517.033       517.033
      517.0331      517.0331
      517.0332      517.0332
      517.0333      517.0333
     517.03339     517.03339
     517.03348     517.03348
     517.03356     517.03356
     517.03364     517.03364
     517.03372     517.03372
     517.03379     517.03379
     517.03387     517.03387
     517.03394     517.03394
       517.034       517.034
     517.03407     517.03407
     517.03413     517.03413
     517.03419     517.03419
     517.03425     517.03425
      517.0343      517.0343
     517.03436     517.03436
     517.03441     517.03441
     517.03446     517.03446
     517.03451     517.03451
     517.03455     517.03455
      517.0346      517.0346
     517.03464     517.03464
     517.03468     517.03468
     517.03472     517.03472
     517.03476     517.03476
     517.03479     517.03479
     517.03483     517.03483
     517.03486     517.03486
      517.0349      517.0349
     517.03493     517.03493
     517.03496     517.03496
     517.03499     517.03499
     517.03502     517.03502
     517.03504     517.03504
     517.03507     517.03507
     517.03509     517.03509
     517.03512     517.03512
     517.03514     517.03514
     517.03516     517.03516
     517.03518     517.03518
     517.03521     517.03521
